onset	duration	sample	trial_type	response_time	stimulus	run
1	5	86244	friendGroupBlock	4	Black	1
12.014	5	97258	friendGroupBlock	1.459	Canadians	1
21.025	5	106269	friendGroupBlock	0.882	Jewish	1
30.037	5	115281	friendGroupBlock	0.729	Buddhists	1
38.078	5	123322	friendGroupBlock	2.574	liberals	1
53.095	5	138339	selfGroupBlock	4	Black	1
64.108	5	149352	selfGroupBlock	0.848	Middle Eastern	1
71.675	5	156919	selfGroupBlock	0.609	Jewish	1
81.127	5	166371	selfGroupBlock	0.925	Buddhists	1
92.141	5	177385	selfGroupBlock	0.824	liberals	1
105.156	5	190400	friendTraitBlock	2.076	finds fault with others	1
116.17	5	201414	friendTraitBlock	1.1	artistic, appreciating aesthetics	1
127.184	5	212428	friendTraitBlock	1.75	depressed, blue	1
134.593	5	219837	friendTraitBlock	1.111	clever and cunning	1
143.604	5	228848	friendTraitBlock	1.863	emotionally needy, craving affirmation or attention	1
156.62	5	241864	selfTraitBlock	3.246	hedonistic and pleasure seeking	1
165.632	5	250876	selfTraitBlock	1.769	confident, secure in themselves	1
176.646	5	261890	selfTraitBlock	1.256	cooperative, enjoying working with others	1
187.659	5	272903	selfTraitBlock	1.124	considerate and kind	1
194.669	5	279913	selfTraitBlock	1.931	clever and cunning	1
207.685	5	292929	selfRoleBlock	4.089	barters with others on behalf of the group	1
218.698	5	303942	selfRoleBlock	2.392	resolves conflicts in the group	1
225.709	5	310953	selfRoleBlock	1.419	motivates others to a common goal	1
234.721	5	319965	selfRoleBlock	2.118	throws parties for the group	1
243.733	5	328977	selfRoleBlock	1.776	shames group members for their mistakes	1
258.75	5	343994	friendRoleBlock	1.164	entertains the group	1
270.868	5	356112	friendRoleBlock	2.539	reminds others of their obligations	1
281.882	5	367126	friendRoleBlock	2.178	attacks others who harm the group	1
288.892	5	374136	friendRoleBlock	2.979	divides up and assigns others to tasks	1
297.904	5	383148	friendRoleBlock	1.497	tutors others in the group	1
310.919	5	396163	friendTraitBlock	1.442	dull, unintelligent	1
319.931	5	405175	friendTraitBlock	2.185	careful about doing things the right way, meticulous	1
328.943	5	414187	friendTraitBlock	1.396	cooperative, enjoying working with others	1
339.957	5	425201	friendTraitBlock	2.51	persuasive, articulate and even eloquent	1
346.967	5	432211	friendTraitBlock	1.086	greedy or power-hungry	1
361.976	5	447220	selfRoleBlock	2.113	lets others in the group take advantage of them	1
370.988	5	456232	selfRoleBlock	2.161	counsels others in difficult life decisions	1
380	5	465244	selfRoleBlock	1.745	tutors others in the group	1
391.013	5	476257	selfRoleBlock	2.102	helps others find their aspirations	1
399.685	5	484929	selfRoleBlock	1.314	challenges the group's beliefs	1
414.702	5	499946	friendRoleBlock	1.602	challenges others' authority in the group	1
425.716	5	510960	friendRoleBlock	2.148	lets others in the group take advantage of them	1
433.291	5	518535	friendRoleBlock	1.513	loosens up the group	1
442.303	5	527547	friendRoleBlock	1.238	challenges the group's beliefs	1
451.315	5	536559	friendRoleBlock	1.701	engages others to be active and fit	1
466.332	5	551576	selfTraitBlock	2.537	perseverant until the task is finished	1
477.345	5	562589	selfTraitBlock	1.635	gets nervous and anxious easily	1
486.357	5	571601	selfTraitBlock	1.847	persuasive, articulate and even eloquent	1
495.369	5	580613	selfTraitBlock	2.516	compliant, submissive	1
503.077	5	588321	selfTraitBlock	1.169	romantic or charming	1
1.001	5	677361	friendTraitBlock	2.004	relaxed, handles stress well	2
12.014	5	688374	friendTraitBlock	1.031	compliant, submissive	2
21.026	5	697386	friendTraitBlock	1.189	eminent, popular, and captivating	2
32.04	5	708400	friendTraitBlock	0.866	happy and cheerful	2
41.052	5	717412	friendTraitBlock	1.042	brave, courageous	2
52.066	5	728426	friendRoleBlock	2.771	barters with others on behalf of the group	2
61.078	5	737438	friendRoleBlock	0.875	leads the group	2
70.09	5	746450	friendRoleBlock	1.797	shares gossip with the group	2
81.103	5	757463	friendRoleBlock	2.173	challenges the morals and norms of the group	2
92.117	5	768477	friendRoleBlock	1.879	shares study notes with others	2
103.131	5	779491	selfRoleBlock	2.347	challenges others' authority in the group	2
112.143	5	788503	selfRoleBlock	2.048	helps people with physically demanding tasks	2
124.718	5	801078	selfRoleBlock	1.495	gives others in the group false hope	2
135.731	5	812091	selfRoleBlock	1.595	reminds others of their obligations	2
142.742	5	819102	selfRoleBlock	1.891	hoards the group's resources for the future	2
157.127	5	833487	selfRoleBlock	1.268	shares study notes with others	2
166.139	5	842499	selfRoleBlock	1.562	maintains the group's traditions and rituals	2
173.15	5	849510	selfRoleBlock	1.175	keeps others on schedule	2
184.163	5	860523	selfRoleBlock	1.434	finds new opportunities for the group	2
195.177	5	871537	selfRoleBlock	2.023	organizes and coordinates the group's plans	2
