onset	duration	sample	trial_type	response_time	stimulus	run
1.007	5	341802	selfRoleBlock	6.225	challenges others' authority in the group	1
12.015	5	352810	selfRoleBlock	2.114	provides emotional support to the group	1
19.031	5	359826	selfRoleBlock	2.82	barters with others on behalf of the group	1
30.049	5	370844	selfRoleBlock	1.779	cleans and tidies up after others	1
39.066	5	379861	selfRoleBlock	1.674	discovers new knowledge for the group	1
52.095	5	392890	selfTraitBlock	2.32	cold and aloof	1
63.104	5	403899	selfTraitBlock	2.562	perverse, having unhealthy habits	1
72.12	5	412915	selfTraitBlock	3.164	emotionally needy, craving affirmation or attention	1
81.137	5	421932	selfTraitBlock	1.318	hurried, impatient	1
92.145	5	432940	selfTraitBlock	2.36	hedonistic and pleasure seeking	1
103.164	5	443959	friendTraitBlock	2.631	blunt, no-nonsense	1
114.182	5	454977	friendTraitBlock	1.31	outgoing, sociable	1
123.199	5	463994	friendTraitBlock	1.835	sentimental and sensitive, experiencing emotions strongly	1
130.224	5	471019	friendTraitBlock	1.032	happy and cheerful	1
139.241	5	480036	friendTraitBlock	1.431	greedy or power-hungry	1
154.272	5	495067	friendTraitBlock	2.437	artistic, appreciating aesthetics	1
165.28	5	506075	friendTraitBlock	2.063	confident, secure in themselves	1
172.285	5	513080	friendTraitBlock	3.298	unathletic, weak, or physically limited in some fashion	1
181.292	5	522087	friendTraitBlock	1.568	depressed, blue	1
190.299	5	531094	friendTraitBlock	2.682	emotionally needy, craving affirmation or attention	1
205.31	5	546105	selfRoleBlock	4.818	finds new opportunities for the group	1
216.328	5	557123	selfRoleBlock	2.528	maintains the group's traditions and rituals	1
225.335	5	566130	selfRoleBlock	3.155	lets others in the group take advantage of them	1
234.342	5	575137	selfRoleBlock	1.648	counsels others in difficult life decisions	1
245.36	5	586155	selfRoleBlock	2.755	shares gossip with the group	1
256.368	5	597163	friendRoleBlock	2.457	hoards the group's resources for the future	1
265.375	5	606170	friendRoleBlock	1.463	leads the group	1
276.393	5	617188	friendRoleBlock	2.545	excludes unpopular or unwanted others from the group	1
283.409	5	624204	friendRoleBlock	3.431	advises the group on strategy in competitions and games	1
294.427	5	635222	friendRoleBlock	2.085	shames group members for their mistakes	1
307.437	5	648232	selfTraitBlock	2.862	prone to boredom, listless	1
318.445	5	659240	selfTraitBlock	3.113	apathetic or indifferent	1
325.45	5	666245	selfTraitBlock	2.318	finds fault with others	1
334.457	5	675252	selfTraitBlock	2.304	unsatisfied with the way things are	1
345.475	5	686270	selfTraitBlock	0.108	healthy and fit	1
358.495	5	699290	selfGroupBlock	3.709	humanities majors	1
365.5	5	706295	selfGroupBlock	1.246	Christians	1
376.508	5	717303	selfGroupBlock	0.044	White	1
385.525	5	726320	selfGroupBlock	1.247	nerds	1
396.543	5	737338	selfGroupBlock	2.81	liberals	1
409.563	5	750358	friendGroupBlock	3.057	White	1
418.58	5	759375	friendGroupBlock	0.963	students	1
429.598	5	770393	friendGroupBlock	1.267	conservatives	1
438.615	5	779410	friendGroupBlock	3.51	humanities majors	1
445.63	5	786425	friendGroupBlock	1.138	liberals	1
460.652	5	801447	friendRoleBlock	2.818	shares study notes with others	1
469.668	5	810463	friendRoleBlock	2.646	keeps the group from dangerous or risky ventures	1
476.684	5	817479	friendRoleBlock	2.479	engages others to be active and fit	1
485.71	5	826505	friendRoleBlock	2.702	lets others in the group take advantage of them	1
496.728	5	837523	friendRoleBlock	2.063	throws parties for the group	1
1.007	5	938579	friendGroupBlock	1.938	Black	2
12.025	5	949597	friendGroupBlock	1.48	Middle Eastern	2
21.052	5	958624	friendGroupBlock	1.555	Buddhists	2
30.069	5	967641	friendGroupBlock	1.968	fraternity or sorority members	2
41.087	5	978659	friendGroupBlock	1.135	Christians	2
