onset	duration	Subject	sample	trial_type	response_time	stimulus	run
1	5	2	86244	friendGroupBlock	4	Black	1
12.014	5	2	97258	friendGroupBlock	1.459	Canadians	1
21.025	5	2	106269	friendGroupBlock	0.882	Jewish	1
30.037	5	2	115281	friendGroupBlock	0.729	Buddhists	1
38.078	5	2	123322	friendGroupBlock	2.574	liberals	1
53.095	5	2	138339	selfGroupBlock	4	Black	1
64.108	5	2	149352	selfGroupBlock	0.848	Middle Eastern	1
71.675	5	2	156919	selfGroupBlock	0.609	Jewish	1
81.127	5	2	166371	selfGroupBlock	0.925	Buddhists	1
92.141	5	2	177385	selfGroupBlock	0.824	liberals	1
105.156	5	2	190400	friendTraitBlock	2.076	finds fault with others	1
116.17	5	2	201414	friendTraitBlock	1.1	"artistic, appreciating aesthetics"	1
127.184	5	2	212428	friendTraitBlock	1.75	"depressed, blue"	1
134.593	5	2	219837	friendTraitBlock	1.111	clever and cunning	1
143.604	5	2	228848	friendTraitBlock	1.863	"emotionally needy, craving affirmation or attention"	1
156.62	5	2	241864	selfTraitBlock	3.246	hedonistic and pleasure seeking	1
165.632	5	2	250876	selfTraitBlock	1.769	"confident, secure in themselves"	1
176.646	5	2	261890	selfTraitBlock	1.256	"cooperative, enjoying working with others"	1
187.659	5	2	272903	selfTraitBlock	1.124	considerate and kind	1
194.669	5	2	279913	selfTraitBlock	1.931	clever and cunning	1
207.685	5	2	292929	selfRoleBlock	4.089	barters with others on behalf of the group	1
218.698	5	2	303942	selfRoleBlock	2.392	resolves conflicts in the group	1
225.709	5	2	310953	selfRoleBlock	1.419	motivates others to a common goal	1
234.721	5	2	319965	selfRoleBlock	2.118	throws parties for the group	1
243.733	5	2	328977	selfRoleBlock	1.776	shames group members for their mistakes	1
258.75	5	2	343994	friendRoleBlock	1.164	entertains the group	1
270.868	5	2	356112	friendRoleBlock	2.539	reminds others of their obligations	1
281.882	5	2	367126	friendRoleBlock	2.178	attacks others who harm the group	1
288.892	5	2	374136	friendRoleBlock	2.979	divides up and assigns others to tasks	1
297.904	5	2	383148	friendRoleBlock	1.497	tutors others in the group	1
310.919	5	2	396163	friendTraitBlock	1.442	"dull, unintelligent"	1
319.931	5	2	405175	friendTraitBlock	2.185	"careful about doing things the right way, meticulous"	1
328.943	5	2	414187	friendTraitBlock	1.396	"cooperative, enjoying working with others"	1
339.957	5	2	425201	friendTraitBlock	2.51	"persuasive, articulate and even eloquent"	1
346.967	5	2	432211	friendTraitBlock	1.086	greedy or power-hungry	1
361.976	5	2	447220	selfRoleBlock	2.113	lets others in the group take advantage of them	1
370.988	5	2	456232	selfRoleBlock	2.161	counsels others in difficult life decisions	1
380	5	2	465244	selfRoleBlock	1.745	tutors others in the group	1
391.013	5	2	476257	selfRoleBlock	2.102	helps others find their aspirations	1
399.685	5	2	484929	selfRoleBlock	1.314	challenges the group's beliefs	1
