onset	duration	sample	trial_type	response_time	stimulus	run
1.008	5	325600	friendTraitBlock	2.309	depressed, blue	1
10.024	5	334616	friendTraitBlock	1.86	confident, secure in themselves	1
17.04	5	341632	friendTraitBlock	2.237	passionate, opinionated	1
28.058	5	352650	friendTraitBlock	1.951	happy and cheerful	1
37.075	5	361667	friendTraitBlock	1.455	spontaneous, adventuresome	1
52.106	5	376698	selfGroupBlock	3.378	fraternity or sorority members	1
61.123	5	385715	selfGroupBlock	2.305	men	1
68.138	5	392730	selfGroupBlock	1.056	students	1
77.155	5	401747	selfGroupBlock	1.373	hipsters	1
88.173	5	412765	selfGroupBlock	0.964	Middle Eastern	1
103.204	5	427796	friendRoleBlock	2.711	shames group members for their mistakes	1
114.222	5	438814	friendRoleBlock	1.429	leads the group	1
123.239	5	447831	friendRoleBlock	1.705	loosens up the group	1
134.257	5	458849	friendRoleBlock	5.624	resolves conflicts in the group	1
141.263	5	465855	friendRoleBlock	1.956	helps others find romantic partners	1
154.293	5	478885	friendRoleBlock	2.031	divides up and assigns others to tasks	1
165.311	5	489903	friendRoleBlock	2.773	shares study notes with others	1
176.329	5	500921	friendRoleBlock	2.481	helps people with physically demanding tasks	1
185.346	5	509938	friendRoleBlock	3.268	barters with others on behalf of the group	1
192.361	5	516953	friendRoleBlock	2.547	reminds others of their obligations	1
205.391	5	529983	selfRoleBlock	2.753	deceives others in the group for amusement or pleasure	1
212.406	5	536998	selfRoleBlock	1.886	barters with others on behalf of the group	1
221.423	5	546015	selfRoleBlock	1	loosens up the group	1
232.441	5	557033	selfRoleBlock	2.617	advises the group on strategy in competitions and games	1
243.459	5	568051	selfRoleBlock	1.623	discovers new knowledge for the group	1
256.489	5	581081	selfRoleBlock	2.553	reminds others of their obligations	1
267.507	5	592099	selfRoleBlock	0.975	leads the group	1
278.526	5	603118	selfRoleBlock	1.669	helps others find their aspirations	1
287.542	5	612134	selfRoleBlock	2.571	helps people with physically demanding tasks	1
294.558	5	619150	selfRoleBlock	2.549	excludes unpopular or unwanted others from the group	1
307.587	5	632179	selfTraitBlock	2.077	spontaneous, adventuresome	1
314.603	5	639195	selfTraitBlock	6.007	artistic, appreciating aesthetics	1
325.611	5	650203	selfTraitBlock	3.198	prone to boredom, listless	1
334.628	5	659220	selfTraitBlock	2.266	dull, unintelligent	1
343.644	5	668236	selfTraitBlock	1.577	happy and cheerful	1
358.676	5	683268	friendGroupBlock	1.774	Black	1
