onset	duration	sample	trial_type	response_time	stimulus	run
1	5	268511	selfTraitBlock	1.886	reckless and impulsive	1
12.009	5	279520	selfTraitBlock	1.333	healthy and fit	1
23.018	5	290529	selfTraitBlock	1.131	trustworthy, faithful	1
32.027	5	299538	selfTraitBlock	1.119	promiscuous, sleeping around a lot	1
39.035	5	306546	selfTraitBlock	1.679	apathetic or indifferent	1
52.044	5	319555	selfGroupBlock	3.056	students	1
61.053	5	328564	selfGroupBlock	0.846	men	1
72.062	5	339573	selfGroupBlock	0.823	Black	1
81.071	5	348582	selfGroupBlock	0.845	Jewish	1
92.08	5	359591	selfGroupBlock	0.93	Canadians	1
103.089	5	370600	selfRoleBlock	2.816	challenges the morals and norms of the group	1
114.106	5	381617	selfRoleBlock	1.486	provides emotional support to the group	1
121.115	5	388626	selfRoleBlock	1.891	counsels others in difficult life decisions	1
130.132	5	397643	selfRoleBlock	2.257	excludes unpopular or unwanted others from the group	1
139.149	5	406660	selfRoleBlock	2.47	maintains the group's traditions and rituals	1
154.158	5	421669	friendRoleBlock	3.927	challenges others' authority in the group	1
165.167	5	432678	friendRoleBlock	3.4	attacks others who harm the group	1
176.184	5	443695	friendRoleBlock	5.234	advises the group on strategy in competitions and games	1
185.185	5	452696	friendRoleBlock	1.193	entertains the group	1
192.202	5	459713	friendRoleBlock	5.938	barters with others on behalf of the group	1
205.202	5	472713	selfRoleBlock	2.802	cleans and tidies up after others	1
214.211	5	481722	selfRoleBlock	1.706	finds new opportunities for the group	1
225.22	5	492731	selfRoleBlock	1.844	shames group members for their mistakes	1
232.229	5	499740	selfRoleBlock	2.011	loosens up the group	1
241.246	5	508757	selfRoleBlock	3.154	organizes and coordinates the group's plans	1
256.255	5	523766	friendTraitBlock	1.665	trustworthy, faithful	1
267.264	5	534775	friendTraitBlock	1.576	considerate and kind	1
278.273	5	545784	friendTraitBlock	1.832	passionate, opinionated	1
287.281	5	554792	friendTraitBlock	3.374	confident, secure in themselves	1
294.29	5	561801	friendTraitBlock	1.625	cold and aloof	1
307.299	5	574810	friendTraitBlock	1.728	healthy and fit	1
318.308	5	585819	friendTraitBlock	1.393	greedy or power-hungry	1
327.317	5	594828	friendTraitBlock	2.258	romantic or charming	1
334.326	5	601837	friendTraitBlock	3.831	prone to boredom, listless	1
343.343	5	610854	friendTraitBlock	3.579	artistic, appreciating aesthetics	1
358.352	5	625863	friendRoleBlock	4.73	discovers new knowledge for the group	1
367.361	5	634872	friendRoleBlock	3.89	throws parties for the group	1
378.378	5	645889	friendRoleBlock	3.855	asks questions when the group is confused	1
385.387	5	652898	friendRoleBlock	2.108	resolves conflicts in the group	1
394.404	5	661915	friendRoleBlock	4.93	ensures others in the group act morally	1
409.413	5	676924	friendGroupBlock	1.538	Canadians	1
418.422	5	685933	friendGroupBlock	1.417	nerds	1
429.43	5	696941	friendGroupBlock	1.199	Buddhists	1
436.439	5	703950	friendGroupBlock	1.024	White	1
447.448	5	714959	friendGroupBlock	0.935	hipsters	1
460.457	5	727968	selfTraitBlock	1.48	brave, courageous	1
467.466	5	734977	selfTraitBlock	1.38	cooperative, enjoying working with others	1
478.475	5	745986	selfTraitBlock	1.218	outgoing, sociable	1
489.492	5	757003	selfTraitBlock	3.56	sentimental and sensitive, experiencing emotions strongly	1
498.501	5	766012	selfTraitBlock	1.687	eminent, popular, and captivating	1
1.001	5	853200	friendRoleBlock	3.994	cleans and tidies up after others	2
12.018	5	864217	friendRoleBlock	2.692	helps others find their aspirations	2
21.035	5	873234	friendRoleBlock	2.934	motivates others to a common goal	2
30.044	5	882243	friendRoleBlock	4.306	divides up and assigns others to tasks	2
37.052	5	889251	friendRoleBlock	2.721	challenges the group's beliefs	2
52.062	5	904261	selfTraitBlock	1.45	arrogant or full of themselves	2
63.07	5	915269	selfTraitBlock	1.31	passionate, opinionated	2
74.079	5	926278	selfTraitBlock	1.059	depressed, blue	2
81.088	5	933287	selfTraitBlock	1.642	considerate and kind	2
90.097	5	942296	selfTraitBlock	1.821	persuasive, articulate and even eloquent	2
103.106	5	955305	friendTraitBlock	2.059	outgoing, sociable	2
112.115	5	964314	friendTraitBlock	1.616	finds fault with others	2
121.123	5	973322	friendTraitBlock	1.973	cooperative, enjoying working with others	2
128.132	5	980331	friendTraitBlock	2.548	clever and cunning	2
139.141	5	991340	friendTraitBlock	1.198	depressed, blue	2
154.15	5	1006349	friendGroupBlock	1.604	stoners	2
163.159	5	1015358	friendGroupBlock	1.142	women	2
174.168	5	1026367	friendGroupBlock	1.16	fraternity or sorority members	2
181.177	5	1033376	friendGroupBlock	1.047	students	2
192.185	5	1044384	friendGroupBlock	1.229	Christians	2
205.194	5	1057393	selfGroupBlock	1.417	Christians	2
216.203	5	1068402	selfGroupBlock	1.198	hipsters	2
225.212	5	1077411	selfGroupBlock	0.904	women	2
234.221	5	1086420	selfGroupBlock	0.834	Muslims	2
241.23	5	1093429	selfGroupBlock	0.893	Middle Eastern	2
256.239	5	1108438	friendRoleBlock	4.107	keeps the group from dangerous or risky ventures	2
263.256	5	1115455	friendRoleBlock	2.519	shames group members for their mistakes	2
272.273	5	1124472	friendRoleBlock	2.264	organizes and coordinates the group's plans	2
283.29	5	1135489	friendRoleBlock	3.531	helps people with physically demanding tasks	2
292.307	5	1144506	friendRoleBlock	4.21	challenges the morals and norms of the group	2
307.316	5	1159515	friendTraitBlock	1.811	brave, courageous	2
316.325	5	1168524	friendTraitBlock	1.692	apathetic or indifferent	2
327.334	5	1179533	friendTraitBlock	2.149	compliant, submissive	2
334.343	5	1186542	friendTraitBlock	3.47	hurried, impatient	2
