onset	duration	sample	trial_type	response_time	stimulus	run
1.001	5	377153	friendGroupBlock	3.084	Muslims	1
10.009	5	386161	friendGroupBlock	1.531	nerds	1
17.018	5	393170	friendGroupBlock	1.604	stoners	1
28.027	5	404179	friendGroupBlock	1.274	White	1
39.036	5	415188	friendGroupBlock	1.025	liberals	1
52.045	5	428197	selfTraitBlock	2.299	jealous, petty	1
61.053	5	437205	selfTraitBlock	1.463	blunt, no-nonsense	1
70.062	5	446214	selfTraitBlock	1.702	gets nervous and anxious easily	1
81.071	5	457223	selfTraitBlock	1.711	artistic, appreciating aesthetics	1
88.08	5	464232	selfTraitBlock	1.85	prone to boredom, listless	1
103.089	5	479241	friendRoleBlock	2.506	shames group members for their mistakes	1
110.106	5	486258	friendRoleBlock	1.832	divides up and assigns others to tasks	1
119.123	5	495275	friendRoleBlock	1.941	lets others in the group take advantage of them	1
128.14	5	504292	friendRoleBlock	1.93	helps others find their aspirations	1
139.157	5	515309	friendRoleBlock	1.681	ensures others follow the group's rules	1
154.166	5	530318	friendTraitBlock	1.778	jealous, petty	1
165.175	5	541327	friendTraitBlock	1.53	depressed, blue	1
174.184	5	550336	friendTraitBlock	1.675	callous, caring little for others	1
185.201	5	561353	friendTraitBlock	2.126	unathletic, weak, or physically limited in some fashion	1
194.21	5	570362	friendTraitBlock	1.834	outgoing, sociable	1
205.218	5	581370	selfGroupBlock	1.746	students	1
214.227	5	590379	selfGroupBlock	1.897	humanities majors	1
225.236	5	601388	selfGroupBlock	2.84	commuter students	1
236.245	5	612397	selfGroupBlock	0.935	Buddhists	1
243.254	5	619406	selfGroupBlock	0.957	Black	1
256.263	5	632415	selfRoleBlock	3.229	challenges the group's beliefs	1
263.28	5	639432	selfRoleBlock	2.142	challenges others' authority in the group	1
274.297	5	650449	selfRoleBlock	2.976	shares gossip with the group	1
285.314	5	661466	selfRoleBlock	1.308	ensures others follow the group's rules	1
294.323	5	670475	selfRoleBlock	2.743	gives others in the group false hope	1
307.332	5	683484	selfTraitBlock	1.572	depressed, blue	1
314.34	5	690492	selfTraitBlock	2.569	healthy and fit	1
325.349	5	701501	selfTraitBlock	3.039	hedonistic and pleasure seeking	1
334.366	5	710518	selfTraitBlock	2.519	sentimental and sensitive, experiencing emotions strongly	1
345.375	5	721527	selfTraitBlock	1.664	hurried, impatient	1
358.384	5	734536	friendRoleBlock	2.99	ensures others in the group act morally	1
367.393	5	743545	friendRoleBlock	3.035	shares study notes with others	1
378.41	5	754562	friendRoleBlock	1.184	provides emotional support to the group	1
387.419	5	763571	friendRoleBlock	1.393	challenges the group's beliefs	1
398.436	5	774588	friendRoleBlock	3.449	advises the group on strategy in competitions and games	1
409.445	5	785597	friendTraitBlock	4.04	perverse, having unhealthy habits	1
418.462	5	794614	friendTraitBlock	3.505	unsatisfied with the way things are	1
425.47	5	801622	friendTraitBlock	2.457	reckless and impulsive	1
436.479	5	812631	friendTraitBlock	1.563	compliant, submissive	1
445.488	5	821640	friendTraitBlock	1.394	promiscuous, sleeping around a lot	1
460.497	5	836649	selfRoleBlock	4.034	excludes unpopular or unwanted others from the group	1
471.498	5	847650	selfRoleBlock	1.372	loosens up the group	1
480.515	5	856667	selfRoleBlock	2.418	challenges the morals and norms of the group	1
487.523	5	863675	selfRoleBlock	2.106	cleans and tidies up after others	1
