onset	duration	sample	trial_type	response_time	stimulus	run
1.008	5	67869	selfGroupBlock	2.376	Jewish	1
12.036	5	78897	selfGroupBlock	2.34	Canadians	1
21.053	5	87914	selfGroupBlock	2.192	conservatives	1
32.081	5	98942	selfGroupBlock	1.281	Black	1
41.098	5	107959	selfGroupBlock	1.111	White	1
52.116	5	118977	friendGroupBlock	1.551	nerds	1
61.133	5	127994	friendGroupBlock	1.295	men	1
72.151	5	139012	friendGroupBlock	1.635	fraternity or sorority members	1
81.168	5	148029	friendGroupBlock	1.231	Muslims	1
88.183	5	155044	friendGroupBlock	1.266	liberals	1
103.205	5	170066	friendTraitBlock	2.46	jealous, petty	1
112.231	5	179092	friendTraitBlock	1.788	compliant, submissive	1
119.247	5	186108	friendTraitBlock	1.415	promiscuous, sleeping around a lot	1
130.275	5	197136	friendTraitBlock	1.253	happy and cheerful	1
141.293	5	208154	friendTraitBlock	1.81	arrogant or full of themselves	1
154.313	5	221174	selfRoleBlock	2.873	tutors others in the group	1
161.328	5	228189	selfRoleBlock	2.907	hoards the group's resources for the future	1
172.357	5	239218	selfRoleBlock	1.453	provides emotional support to the group	1
181.374	5	248235	selfRoleBlock	2.022	entertains the group	1
192.402	5	259263	selfRoleBlock	2.286	challenges the group's beliefs	1
205.422	5	272283	friendTraitBlock	1.681	depressed, blue	1
216.45	5	283311	friendTraitBlock	1.836	brave, courageous	1
225.467	5	292328	friendTraitBlock	1.735	reckless and impulsive	1
234.484	5	301345	friendTraitBlock	2.743	hedonistic and pleasure seeking	1
241.509	5	308370	friendTraitBlock	1.198	outgoing, sociable	1
256.53	5	323391	selfRoleBlock	4.798	challenges the morals and norms of the group	1
265.547	5	332408	selfRoleBlock	1.646	finds new opportunities for the group	1
274.564	5	341425	selfRoleBlock	1.699	creates rules for the group	1
285.582	5	352443	selfRoleBlock	1.518	engages others to be active and fit	1
292.598	5	359459	selfRoleBlock	2.451	deceives others in the group for amusement or pleasure	1
307.629	5	374490	friendRoleBlock	2.662	helps others find their aspirations	1
314.644	5	381505	friendRoleBlock	1.845	gives others in the group false hope	1
325.662	5	392523	friendRoleBlock	2.339	creates rules for the group	1
336.681	5	403542	friendRoleBlock	1.756	shares study notes with others	1
345.708	5	412569	friendRoleBlock	0.998	entertains the group	1
358.737	5	425598	selfTraitBlock	4.372	perverse, having unhealthy habits	1
369.756	5	436617	selfTraitBlock	2.439	finds fault with others	1
378.783	5	445644	selfTraitBlock	1.074	considerate and kind	1
385.798	5	452659	selfTraitBlock	4.955	careful about doing things the right way, meticulous	1
396.826	5	463687	selfTraitBlock	1.309	artistic, appreciating aesthetics	1
409.846	5	476707	selfTraitBlock	2.488	persuasive, articulate and even eloquent	1
420.864	5	487725	selfTraitBlock	2.277	compliant, submissive	1
427.88	5	494741	selfTraitBlock	1.304	relaxed, handles stress well	1
438.908	5	505769	selfTraitBlock	1.042	promiscuous, sleeping around a lot	1
447.925	5	514786	selfTraitBlock	1.712	passionate, opinionated	1
460.954	5	527815	friendRoleBlock	2.93	shames group members for their mistakes	1
469.971	5	536832	friendRoleBlock	1.043	leads the group	1
480.99	5	547851	friendRoleBlock	1.316	discovers new knowledge for the group	1
488.015	5	554876	friendRoleBlock	1.444	asks questions when the group is confused	1
499.033	5	565894	friendRoleBlock	2.522	excludes unpopular or unwanted others from the group	1
1.008	5	694121	selfGroupBlock	2.065	Christians	2
10.025	5	703138	selfGroupBlock	1.101	fraternity or sorority members	2
21.053	5	714166	selfGroupBlock	1.84	hipsters	2
28.068	5	721181	selfGroupBlock	1.034	liberals	2
39.087	5	732200	selfGroupBlock	0.839	Muslims	2
52.116	5	745229	selfRoleBlock	2.487	organizes and coordinates the group's plans	2
61.133	5	754246	selfRoleBlock	3.582	keeps others on schedule	2
72.152	5	765265	selfRoleBlock	1.484	discovers new knowledge for the group	2
81.178	5	774291	selfRoleBlock	3.357	ensures others follow the group's rules	2
88.194	5	781307	selfRoleBlock	2.721	keeps the group from dangerous or risky ventures	2
103.225	5	796338	friendTraitBlock	4.133	unathletic, weak, or physically limited in some fashion	2
114.243	5	807356	friendTraitBlock	1.537	eminent, popular, and captivating	2
125.262	5	818375	friendTraitBlock	1.432	healthy and fit	2
132.287	5	825400	friendTraitBlock	2.32	apathetic or indifferent	2
141.304	5	834417	friendTraitBlock	1.282	cold and aloof	2
154.334	5	847447	selfTraitBlock	3.081	emotionally needy, craving affirmation or attention	2
165.352	5	858465	selfTraitBlock	1.611	dull, unintelligent	2
174.369	5	867482	selfTraitBlock	1.138	cold and aloof	2
183.395	5	876508	selfTraitBlock	1.87	brave, courageous	2
194.414	5	887527	selfTraitBlock	1.722	reckless and impulsive	2
205.432	5	898545	selfTraitBlock	1.749	healthy and fit	2
216.45	5	909563	selfTraitBlock	2.578	clever and cunning	2
227.469	5	920582	selfTraitBlock	1.644	confident, secure in themselves	2
234.494	5	927607	selfTraitBlock	4.031	sentimental and sensitive, experiencing emotions strongly	2
243.511	5	936624	selfTraitBlock	1.127	outgoing, sociable	2
256.541	5	949654	selfRoleBlock	1.644	leads the group	2
263.566	5	956679	selfRoleBlock	1.622	helps others find their aspirations	2
272.583	5	965696	selfRoleBlock	5.264	divides up and assigns others to tasks	2
283.611	5	976724	selfRoleBlock	3.24	lets others in the group take advantage of them	2
294.629	5	987742	selfRoleBlock	4.14	advises the group on strategy in competitions and games	2
307.649	5	1000762	friendRoleBlock	2.536	finds new opportunities for the group	2
316.666	5	1009779	friendRoleBlock	1.626	motivates others to a common goal	2
323.681	5	1016794	friendRoleBlock	2.172	maintains the group's traditions and rituals	2
334.7	5	1027813	friendRoleBlock	4.181	ensures others in the group act morally	2
345.728	5	1038841	friendRoleBlock	3.514	attacks others who harm the group	2
358.748	5	1051861	friendGroupBlock	3.99	women	2
367.775	5	1060888	friendGroupBlock	1.477	humanities majors	2
376.791	5	1069904	friendGroupBlock	0.979	White	2
383.807	5	1076920	friendGroupBlock	0.79	Jewish	2
394.835	5	1087948	friendGroupBlock	0.87	Christians	2
409.856	5	1102969	friendTraitBlock	2.653	artistic, appreciating aesthetics	2
420.875	5	1113988	friendTraitBlock	3.37	perverse, having unhealthy habits	2
427.9	5	1121013	friendTraitBlock	1.4	clever and cunning	2
436.917	5	1130030	friendTraitBlock	4.055	gets nervous and anxious easily	2
447.945	5	1141058	friendTraitBlock	1.473	romantic or charming	2
460.965	5	1154078	friendRoleBlock	1.846	loosens up the group	2
471.983	5	1165096	friendRoleBlock	3.472	resolves conflicts in the group	2
483.001	5	1176114	friendRoleBlock	1.897	lets others in the group take advantage of them	2
492.018	5	1185131	friendRoleBlock	3.204	barters with others on behalf of the group	2
501.035	5	1194148	friendRoleBlock	2.798	hoards the group's resources for the future	2
1.007	5	1268664	selfRoleBlock	2.632	resolves conflicts in the group	3
8.023	5	1275680	selfRoleBlock	1.919	shames group members for their mistakes	3
19.051	5	1286708	selfRoleBlock	1.833	asks questions when the group is confused	3
28.068	5	1295725	selfRoleBlock	2.751	counsels others in difficult life decisions	3
39.096	5	1306753	selfRoleBlock	2.847	helps people with physically demanding tasks	3
52.116	5	1319773	selfRoleBlock	1.305	shares study notes with others	3
61.143	5	1328800	selfRoleBlock	2.925	helps others find romantic partners	3
72.171	5	1339828	selfRoleBlock	2.336	attacks others who harm the group	3
79.186	5	1346843	selfRoleBlock	3.376	ensures others in the group act morally	3
