onset	duration	sample	trial_type	response_time	stimulus	run
1.001	5	323963	friendRoleBlock	3.494	tutors others in the group	1
10.018	5	332980	friendRoleBlock	3.358	lets others in the group take advantage of them	1
19.035	5	341997	friendRoleBlock	2.572	maintains the group's traditions and rituals	1
30.052	5	353014	friendRoleBlock	3.374	keeps the group from dangerous or risky ventures	1
37.061	5	360023	friendRoleBlock	2.992	challenges the group's beliefs	1
52.07	5	375032	friendTraitBlock	2.581	considerate and kind	1
63.087	5	386049	friendTraitBlock	2.745	artistic, appreciating aesthetics	1
72.096	5	395058	friendTraitBlock	2.309	depressed, blue	1
83.105	5	406067	friendTraitBlock	3.141	passionate, opinionated	1
90.113	5	413075	friendTraitBlock	3.868	callous, caring little for others	1
103.122	5	426084	selfTraitBlock	2.593	relaxed, handles stress well	1
114.14	5	437102	selfTraitBlock	2.786	unsatisfied with the way things are	1
121.148	5	444110	selfTraitBlock	2.325	cooperative, enjoying working with others	1
132.157	5	455119	selfTraitBlock	3.205	hedonistic and pleasure seeking	1
141.166	5	464128	selfTraitBlock	1.838	arrogant or full of themselves	1
154.175	5	477137	friendTraitBlock	3.028	blunt, no-nonsense	1
161.184	5	484146	friendTraitBlock	1.728	happy and cheerful	1
172.192	5	495154	friendTraitBlock	1.882	spontaneous, adventuresome	1
183.21	5	506172	friendTraitBlock	3.438	unsatisfied with the way things are	1
192.218	5	515180	friendTraitBlock	2.179	jealous, petty	1
205.227	5	528189	friendRoleBlock	2.944	counsels others in difficult life decisions	1
214.236	5	537198	friendRoleBlock	2.39	keeps others on schedule	1
225.253	5	548215	friendRoleBlock	2.807	cleans and tidies up after others	1
232.27	5	555232	friendRoleBlock	2.556	advises the group on strategy in competitions and games	1
243.288	5	566250	friendRoleBlock	2.777	helps others find romantic partners	1
256.297	5	579259	friendGroupBlock	2.524	Black	1
265.305	5	588267	friendGroupBlock	1.556	White	1
274.314	5	597276	friendGroupBlock	1.511	stoners	1
281.323	5	604285	friendGroupBlock	1.975	conservatives	1
292.332	5	615294	friendGroupBlock	1.177	liberals	1
307.341	5	630303	selfTraitBlock	2.43	outgoing, sociable	1
316.35	5	639312	selfTraitBlock	2.191	apathetic or indifferent	1
327.359	5	650321	selfTraitBlock	1.497	spontaneous, adventuresome	1
338.367	5	661329	selfTraitBlock	1.768	dull, unintelligent	1
347.385	5	670347	selfTraitBlock	2.874	perverse, having unhealthy habits	1
358.393	5	681355	selfRoleBlock	2.775	shames group members for their mistakes	1
367.411	5	690373	selfRoleBlock	3.771	lets others in the group take advantage of them	1
374.428	5	697390	selfRoleBlock	2.555	challenges others' authority in the group	1
385.436	5	708398	selfRoleBlock	1.917	finds new opportunities for the group	1
396.454	5	719416	selfRoleBlock	2.774	ensures others follow the group's rules	1
409.463	5	732425	selfRoleBlock	2.816	advises the group on strategy in competitions and games	1
420.472	5	743434	selfRoleBlock	2.079	helps others find romantic partners	1
429.489	5	752451	selfRoleBlock	2.965	deceives others in the group for amusement or pleasure	1
438.497	5	761459	selfRoleBlock	2.82	attacks others who harm the group	1
449.515	5	772477	selfRoleBlock	3.449	barters with others on behalf of the group	1
460.524	5	783486	selfGroupBlock	1.904	students	1
469.532	5	792494	selfGroupBlock	2.035	Jewish	1
480.541	5	803503	selfGroupBlock	1.01	Christians	1
489.55	5	812512	selfGroupBlock	1.225	nerds	1
496.559	5	819521	selfGroupBlock	1.452	Buddhists	1
1.001	5	908817	selfTraitBlock	2.042	greedy or power-hungry	2
12.01	5	919826	selfTraitBlock	1.672	finds fault with others	2
21.019	5	928835	selfTraitBlock	1.486	clever and cunning	2
28.036	5	935852	selfTraitBlock	1.963	artistic, appreciating aesthetics	2
39.044	5	946860	selfTraitBlock	2.63	prone to boredom, listless	2
52.053	5	959869	selfGroupBlock	1.99	hipsters	2
61.062	5	968878	selfGroupBlock	0.84	women	2
68.071	5	975887	selfGroupBlock	1.493	Muslims	2
79.08	5	986896	selfGroupBlock	1.884	humanities majors	2
88.089	5	995905	selfGroupBlock	1.924	commuter students	2
103.098	5	1010914	friendTraitBlock	3.526	promiscuous, sleeping around a lot	2
112.106	5	1019922	friendTraitBlock	1.658	clever and cunning	2
123.124	5	1030940	friendTraitBlock	3.464	eminent, popular, and captivating	2
134.133	5	1041949	friendTraitBlock	2.725	healthy and fit	2
141.15	5	1048966	friendTraitBlock	3.283	emotionally needy, craving affirmation or attention	2
154.159	5	1061975	friendGroupBlock	1.703	Canadians	2
163.167	5	1070983	friendGroupBlock	1.54	Muslims	2
174.176	5	1081992	friendGroupBlock	1.273	men	2
